"SalePrice","LotArea","YearBuilt","BedroomAbvGr","GarageCars","YrSold"
167300,10667,1971,3,2,2007
175000,11457,1988,3,2,2009
145000,10859,1994,3,2,2009
269500,12878,2003,3,2,2009
175000,9900,1967,2,2,2009
127500,7840,1975,4,0,2006
88000,2217,1970,3,1,2009
89000,5280,1895,2,1,2008
52000,4130,1935,2,0,2008
210000,8450,2004,3,2,2008
126000,9308,1965,3,1,2006
120000,10762,1980,3,1,2009
133000,4058,1998,1,1,2007
156000,7540,1978,2,2,2007
318000,10389,2003,3,3,2010
113000,21750,1954,2,2,2008
281500,12568,2007,3,3,2007
177500,8923,1998,3,2,2009
244400,24090,1940,4,1,2010
115000,1733,1980,2,2,2009
108000,13907,1940,3,0,2008
141000,9000,1937,3,1,2007
148000,10395,1978,3,2,2007
325300,14215,2005,4,3,2006
180000,7750,2000,3,2,2010
260000,9771,1995,4,2,2008
134900,8982,1977,3,2,2007
62383,8281,1965,3,1,2009
136000,7942,1953,3,1,2007
270000,20062,1977,1,2,2010
178750,7875,1996,3,2,2007
61000,10020,1922,1,0,2009
260000,19550,1940,2,0,2008
188000,8000,1995,3,2,2008
99000,9520,1953,2,1,2008
146000,9375,1954,3,2,2006
170000,3876,1978,1,2,2006
80000,7404,1920,2,2,2009
325000,13173,2006,2,2,2009
262500,9000,2008,3,2,2010
132500,6000,1939,4,1,2009
192000,9017,1999,3,2,2009
148400,1700,1980,2,1,2006
275000,14781,2001,3,3,2006
150000,11050,1968,4,2,2008
187000,12438,1995,3,2,2006
140000,9600,1950,3,1,2009
227000,9808,2002,3,2,2009
250000,9375,2003,3,2,2008
140000,10382,1958,2,1,2006
122000,8212,1941,3,1,2009
146000,13072,2005,3,0,2008
87550,1533,1970,3,1,2006
133500,15523,1972,3,1,2009
129500,10050,1955,3,1,2007
392000,8089,2007,2,2,2007
107000,7819,1976,3,2,2010
322500,11002,1998,4,3,2007
190000,10708,1955,2,1,2009
320000,11670,2006,3,3,2007
86000,5400,1920,2,1,2007
91500,7585,1948,4,1,2006
220000,6853,2001,2,2,2009
168500,9600,1974,4,2,2009
173000,11646,2005,3,2,2009
130000,3869,1984,2,1,2007
64000,5747,1920,2,1,2006
300000,10872,2006,2,3,2009
257500,10206,2008,3,3,2009
189000,11218,1992,3,2,2010
255000,8640,2007,3,2,2007
102900,9533,1953,2,1,2009
238500,7500,2006,2,2,2009
35311,9000,1949,1,1,2006
277000,14364,1988,3,2,2007
232698,9254,2005,3,2,2007
145000,6292,1928,3,1,2009
143000,8410,1974,2,2,2007
108000,5142,1923,3,1,2008
65000,9000,1920,3,1,2008
150000,8760,1956,3,1,2009
217500,11064,1995,1,2,2008
229000,10541,1996,3,2,2008
194500,7314,2007,2,2,2009
207500,5063,2007,2,2,2009
120750,6285,1977,2,1,2007
159900,9571,1956,3,1,2008
310000,14541,1993,5,3,2006
153575,8730,1915,3,1,2007
335000,10367,2008,3,3,2009
137000,13770,1958,3,1,2007
220000,11275,1932,3,2,2007
158500,10738,1966,3,2,2007
148000,7635,1960,3,2,2010
333168,14774,1999,4,3,2010
124500,9600,1959,3,1,2009
185000,7500,2004,2,2,2009
172000,11075,1969,4,2,2008
205000,7132,2006,2,2,2010
176500,9084,1998,3,2,2006
155000,7931,1960,3,1,2008
120000,9576,1945,3,1,2006
319900,7658,2005,2,2,2010
168000,17671,1882,4,2,2009
315000,9200,1998,4,3,2008
148800,5105,2004,2,2,2007
112000,11767,1910,2,1,2007
176000,8029,2005,3,2,2008
176000,12285,1960,3,2,2009
475000,11778,2008,3,3,2008
213000,8749,2003,3,2,2007
188000,9627,1993,3,3,2006
140000,9200,1965,3,1,2008
142000,8450,1968,3,1,2010
126000,10125,1977,4,2,2009
155000,8700,1963,3,2,2008
144000,10044,1968,3,1,2010
203000,8814,2005,3,2,2007
143500,9286,1977,3,1,2009
96000,7550,1920,4,1,2007
174000,8125,1994,3,2,2009
205950,8125,2007,3,2,2008
230500,10400,2001,3,2,2008
264966,12852,2007,3,2,2008
119000,8512,1960,4,0,2006
171925,8857,2006,3,2,2007
194201,3922,2006,2,3,2007
163000,9120,1958,3,2,2008
98600,8500,1961,2,2,2006
203135,19645,1994,3,2,2010
240000,13253,2006,3,3,2008
186000,10420,2009,3,2,2010
144152,3180,2005,2,2,2006
200000,10382,1973,3,2,2009
123000,8660,1900,5,2,2009
200000,8314,1997,3,1,2006
137500,2280,1976,2,1,2006
172500,9802,2006,3,2,2008
278000,5664,2000,2,2,2009
110500,6000,1925,2,2,2006
187000,9291,1993,3,2,2008
375000,7296,2004,1,2,2009
213500,14419,1987,3,2,2009
264561,3982,2006,1,3,2006
136500,8856,1957,3,1,2008
78000,6402,1920,3,1,2009
119500,8927,1977,4,2,2006
114000,8146,1900,2,1,2009
250000,11170,1990,4,2,2006
94500,1680,1972,2,1,2006
130000,2522,2004,3,2,2006
332200,7740,2006,1,3,2006
159000,13695,2004,3,2,2008
317000,9591,2004,4,3,2007
256000,10440,1920,5,2,2008
128500,6490,1983,2,1,2008
116050,9353,1970,3,1,2006
184900,10083,2003,2,2,2009
146000,9278,2007,2,0,2008
199900,11214,1998,4,2,2006
250000,13128,2005,4,2,2006
111250,12735,1972,3,2,2008
140000,3675,2005,2,2,2006
139600,13680,1955,4,2,2009
134500,10205,1962,3,1,2006
116000,9770,1957,2,1,2007
127500,9855,1956,3,2,2009
183500,8244,2004,3,2,2007
274725,23257,2006,3,2,2006
250764,50102,1958,2,2,2006
110000,3500,1947,2,1,2009
213000,9317,1993,3,2,2009
204750,9337,1997,3,2,2007
143195,9216,1975,3,2,2008
180500,14112,1964,3,2,2010
98000,7785,1956,2,1,2008
207000,6289,2005,2,2,2007
170000,13001,1971,2,2,2007
167000,9600,1953,3,2,2009
118000,1680,1972,2,1,2009
167240,3010,2005,2,2,2006
160000,13383,1969,3,2,2009
207500,16321,1957,2,1,2006
340000,16545,1998,3,3,2009
465000,13891,2006,2,3,2006
166500,11875,1999,3,2,2010
157000,10200,1974,4,2,2009
145000,6270,1949,4,3,2007
143000,25095,1968,1,1,2009
183500,8238,1997,3,2,2006
162500,3907,1989,2,2,2010
178740,3072,2004,2,2,2006
117500,9900,1880,5,1,2007
155000,8536,2006,2,2,2007
275000,3842,2004,2,2,2008
200624,32668,1957,4,2,2007
173000,14137,1964,3,3,2008
125000,8521,1967,3,1,2010
257076,9670,1935,4,2,2008
158500,14000,1950,3,1,2009
290000,13262,2003,4,3,2009
162900,6240,1930,3,2,2008
127500,10106,1940,4,0,2008
163000,10197,1961,3,2,2008
148000,11782,1961,3,2,2010
199000,10936,2006,3,2,2006
139000,11616,1962,3,1,2009
138000,8072,1994,3,2,2009
147000,9600,1950,3,1,2009
187687,3710,2007,2,2,2008
240000,9375,1997,4,2,2010
345000,3951,1998,2,2,2008
160000,7200,1967,6,0,2010
118000,12108,1955,4,0,2008
318000,12085,2007,3,3,2007
100500,1890,1972,2,1,2008
138000,2364,1978,3,2,2009
180000,3182,2005,2,2,2009
110000,11475,1958,4,3,2009
226000,10665,2003,3,2,2007
71000,1894,1970,3,1,2006
151000,1950,1980,3,2,2008
179665,17104,2006,3,2,2006
104900,9738,1924,4,1,2006
99900,5470,1958,2,1,2009
200500,18030,1946,3,0,2007
157500,10533,1956,2,1,2006
145000,8250,1964,3,2,2008
332000,10816,2008,3,3,2009
345000,13860,1972,4,2,2009
52500,4118,1941,2,0,2006
150900,12640,1976,4,2,2006
132000,5350,1920,3,1,2008
87000,4388,1930,3,0,2007
125200,6305,1975,3,1,2010
105000,17529,1924,2,1,2006
171000,11070,1988,5,3,2006
115000,2665,1976,3,1,2008
185000,11207,1997,3,2,2006
141000,19138,1951,2,2,2010
122000,9768,1955,2,1,2009
123000,10634,1953,3,1,2009
113500,2205,1973,3,1,2007
140500,9750,1965,4,2,2008
140200,6435,1939,3,1,2006
106500,8339,1959,3,1,2007
235000,10316,2000,3,3,2008
246578,4045,2006,2,3,2006
176000,10237,2005,3,2,2007
169000,14762,1948,2,2,2006
123000,5775,1915,3,1,2009
215000,12209,2001,3,2,2009
81300,6120,1945,1,1,2008
198000,11700,1937,4,1,2008
127000,6882,1914,3,0,2007
128000,7350,1958,3,1,2009
108000,7741,1924,2,1,2006
90350,4280,1913,2,1,2007
240050,8000,1970,4,2,2007
116900,8400,1955,3,1,2007
121500,11341,1957,3,2,2010
127500,9100,1959,2,1,2009
178000,9636,1992,3,2,2009
134500,6600,1982,3,1,2008
110000,9140,1921,2,1,2010
160000,3203,2006,2,2,2010
141000,7945,1959,3,1,2006
97900,6956,1948,3,1,2006
181755,15810,2007,3,2,2007
215000,31770,1960,3,2,2010
170000,2160,1999,3,2,2008
72000,8534,1925,2,0,2006
189500,10179,1997,3,2,2009
207000,14753,1998,3,2,2009
140000,7763,1962,3,2,2008
231713,8368,2006,3,2,2007
225000,12394,2003,3,2,2007
139000,9000,1956,2,1,2008
113000,8480,1945,2,1,2009
132000,8400,1957,3,1,2006
132500,6120,1926,2,2,2007
110000,6120,1930,3,1,2006
217000,12352,1998,3,2,2007
139500,12518,1968,3,1,2009
292500,12511,1978,4,4,2008
160000,63887,2008,3,2,2008
252000,10790,1998,4,3,2007
79275,8172,1955,3,2,2007
209500,7793,1922,3,1,2010
316600,12327,1983,1,2,2009
107400,5790,1915,3,1,2010
138500,8450,1965,3,1,2010
125000,13600,1955,3,1,2006
103000,6978,1926,2,2,2007
309000,13751,2005,3,3,2006
240000,7380,1998,2,2,2009
163000,11500,1967,3,2,2009
250000,11500,1936,3,1,2006
172500,17360,1949,3,2,2010
231000,12961,1993,3,2,2010
191500,5005,1992,2,2,2010
234250,6240,2006,2,2,2008
320000,13286,2007,3,3,2009
122000,16287,1925,3,2,2007
57625,21780,1910,1,1,2009
68500,6324,1927,1,1,2008
50138,8712,1896,3,1,2010
142953,7018,1979,6,2,2009
153000,8750,1955,3,1,2009
240900,7000,2003,3,2,2009
178900,10237,2005,3,2,2007
185000,7200,2006,2,2,2006
149500,7844,1978,3,2,2006
175500,9600,1973,3,2,2007
383000,14418,2007,2,3,2008
130000,5500,1929,3,2,2010
253293,12704,2008,3,3,2009
337000,9430,1999,3,3,2009
150000,9600,1900,3,1,2010
93500,5976,1920,2,0,2006
114000,7506,1925,3,1,2008
139000,10800,1915,4,1,2010
372402,13891,2007,2,3,2008
150000,7200,1955,3,2,2008
145000,7514,1967,3,1,2006
130250,9200,1975,3,1,2008
120875,13052,1965,3,1,2006
118858,7018,1979,4,2,2009
128000,9100,1963,3,1,2008
207000,13053,1923,4,2,2008
207500,10240,1980,3,2,2006
170000,10010,1974,2,2,2006
100000,9825,1965,4,0,2010
156000,7750,1999,3,2,2009
109500,6600,1962,2,1,2009
135000,7390,1955,3,1,2008
266000,8849,2005,2,2,2008
200000,8158,2002,3,2,2007
110000,11800,1949,1,1,2007
143000,9790,1963,3,2,2010
125500,2160,1973,3,2,2006
146000,12436,1957,5,2,2008
140000,8546,2003,2,2,2010
128500,9560,1972,3,1,2006
127000,8050,1967,3,1,2007
745000,15623,1996,4,3,2007
320000,19378,2005,4,2,2006
152500,17979,1968,3,1,2008
285000,10678,1992,4,2,2007
68400,7500,1920,2,2,2010
173500,7697,2007,3,2,2007
110000,8240,1960,2,2,2007
265900,9037,2006,2,2,2007
211500,3782,1981,1,2,2009
410000,10557,1998,4,3,2007
166000,2998,2000,2,2,2006
137900,10680,1951,4,2,2006
164900,6000,1940,3,1,2008
90000,13600,1900,5,2,2007
172000,10090,1963,4,1,2007
179500,8400,1939,4,1,2008
143000,4426,2004,1,2,2010
104900,12513,1920,4,1,2009
133000,9000,1974,4,2,2008
128000,6858,1915,4,1,2010
240000,10000,1995,3,2,2007
289000,15602,1959,1,2,2010
127000,7910,1960,4,1,2008
145000,10246,1965,0,1,2006
410000,14720,1995,4,3,2010
167840,8334,2006,3,2,2007
125000,7200,1976,3,1,2009
282922,15256,2007,3,3,2007
219500,8740,2002,4,2,2007
85000,9259,1927,2,2,2010
263550,11692,1993,3,2,2009
117000,5680,1901,2,1,2007
159000,8000,1959,3,1,2008
136000,10266,1952,4,1,2008
145000,10532,1960,3,2,2008
183000,11184,1998,3,2,2008
143000,9757,1994,3,1,2009
230000,9742,2002,3,2,2008
154000,13250,1978,4,2,2009
348000,9452,1997,3,3,2006
115000,8665,1968,3,1,2007
356000,12469,2006,3,3,2007
418000,13654,2005,4,3,2007
152000,5400,1926,3,1,2007
179900,9928,1915,3,1,2009
222000,4403,2009,2,2,2010
190000,18890,1977,4,2,2007
313000,11050,2000,3,3,2009
105000,5707,1935,3,1,2009
166000,11900,1957,3,2,2008
263000,9375,2003,4,2,2009
120000,8750,1956,3,1,2009
240000,9000,1890,3,2,2010
126175,5820,1955,3,1,2006
55000,11340,1920,2,2,2008
224000,17500,1954,3,2,2009
115000,6000,1948,2,1,2008
118400,8263,1920,2,1,2007
129500,9600,1917,3,2,2008
124000,7450,1956,2,2,2007
145100,10500,1964,3,2,2009
136500,4435,2003,1,2,2008
119000,13587,1958,2,1,2010
180500,10175,1964,3,2,2008
228500,23920,1984,4,2,2007
137000,4960,1930,3,1,2009
275500,10240,2005,3,3,2006
135500,16466,1955,3,1,2008
475000,22950,1892,4,3,2006
149000,11241,1970,2,2,2010
171000,9880,1977,3,1,2008
144000,6979,1980,0,2,2010
133000,8445,1972,2,2,2009
110000,12354,1920,3,2,2009
160000,8094,1910,5,1,2008
150000,8973,1958,3,2,2006
284000,10655,2003,3,3,2009
223000,16381,1969,3,2,2006
192100,11727,1969,3,2,2006
163500,13360,1921,2,2,2009
359900,11577,2005,3,3,2006
115400,14299,1964,3,2,2007
201000,9196,2003,3,2,2010
145000,7175,1990,2,2,2009
166000,3523,2006,2,2,2007
86000,9098,1920,2,0,2007
55993,8712,1952,2,2,2010
58500,8212,1914,2,1,2010
103500,10307,1910,4,2,2009
246000,3811,2004,2,2,2010
248900,10656,2006,3,3,2007
155000,8094,1915,3,2,2009
230000,9066,1999,3,3,2008
139500,9900,1940,3,1,2009
212300,9780,1950,4,1,2007
183500,8076,1993,3,2,2006
135750,8475,1956,2,1,2008
230500,11194,2000,3,2,2006
115000,21750,1960,3,2,2009
171500,10176,1990,2,2,2010
219500,9375,1997,3,2,2009
153337,7018,1979,2,2,2009
252678,8640,2009,3,2,2009
153500,10140,1975,3,2,2006
146000,2308,1976,3,2,2009
221500,11210,2005,3,3,2006
189950,7642,1918,3,1,2007
139950,7875,1961,3,2,2008
135000,8100,1961,3,1,2008
139000,10180,1968,3,2,2008
177500,11249,1995,3,2,2007
197500,10304,1976,4,2,2009
143000,25000,1967,4,2,2007
131000,11800,1974,3,2,2007
46500,7311,1946,1,1,2008
134432,17120,1959,4,2,2008
82000,8400,1950,2,1,2009
137900,7800,1966,3,1,2010
225000,12460,1999,4,2,2008
140000,8400,1968,3,1,2006
236500,5389,1995,2,2,2010
165000,13284,1954,3,1,2008
179781,9803,2009,2,2,2010
398800,12350,2009,3,3,2009
145000,9863,1927,4,1,2007
254000,7379,2000,3,2,2010
113700,2058,1973,4,1,2007
127500,6240,1931,3,1,2007
178900,9680,1967,3,2,2010
202000,9783,1996,3,2,2006
237000,11250,1995,4,2,2006
250000,9605,2006,3,3,2007
158000,9600,1967,3,1,2006
122600,9184,1948,3,2,2008
197500,9360,1972,3,2,2010
184000,10800,1890,5,2,2008
184000,7800,2005,3,2,2006
179900,10357,1990,3,2,2007
128000,6488,1942,3,1,2006
115000,9000,1951,4,0,2006
80900,5150,1910,2,1,2008
165150,10400,1972,4,2,2006
153000,8712,1957,2,1,2009
175000,10050,1966,3,2,2007
415000,14780,2005,2,3,2006
213250,10140,1998,3,2,2009
153500,9129,1977,1,2,2007
159500,7950,1977,3,2,2009
118500,6204,1912,5,1,2006
184000,9120,1925,4,1,2008
215000,11796,2004,4,2,2007
93369,6449,1907,4,0,2010
270000,14536,2002,3,3,2007
287000,15498,1976,2,2,2008
156500,19255,1983,2,2,2009
234000,3196,2003,2,2,2006
64500,10800,1927,4,1,2007
170000,17871,1995,4,2,2007
86900,7008,1900,1,1,2006
105000,7200,1950,2,1,2006
84900,8777,1945,2,1,2010
271500,10440,2005,2,2,2010
183200,7861,2002,3,2,2006
190000,9587,2005,2,2,2008
156000,7930,1969,3,2,2009
206000,12732,1974,3,2,2009
187000,9600,1976,3,2,2007
188500,9547,1993,2,2,2007
315000,10750,1994,3,3,2009
152000,7500,1959,3,1,2007
140000,9170,1965,2,2,2007
151400,3964,1973,5,2,2006
75000,6120,1930,3,1,2006
108000,1680,1972,3,1,2006
455000,13870,2006,3,3,2007
110000,8472,1963,2,2,2010
128000,6000,1936,3,1,2009
155000,9750,1994,3,2,2008
241000,8125,2006,2,2,2009
119164,7628,1940,2,2,2008
82000,10206,1952,2,2,2009
187500,14115,1980,3,2,2009
163900,9125,1992,3,2,2007
147500,12144,1950,3,1,2006
93850,6291,1930,1,2,2008
235000,8470,2002,3,2,2009
123900,6240,1936,2,2,2010
394617,12444,2008,2,3,2008
167900,9650,1977,2,2,2009
229800,8640,2008,3,2,2009
139400,9250,1954,3,1,2007
404000,12350,2008,3,3,2009
159895,3182,2007,2,2,2008
140000,7630,1900,4,2,2010
181000,24682,1999,3,2,2009
160000,7082,1916,5,0,2006
113000,9340,1941,2,1,2009
112000,5175,1958,2,1,2007
183000,11104,1969,4,2,2008
174000,10400,1970,3,2,2008
90000,8550,1926,4,2,2007
171000,9247,1962,4,2,2008
112000,8930,1978,4,2,2010
170000,13041,1995,3,2,2006
94750,10921,1965,3,1,2007
190000,11751,1977,3,2,2010
136500,8400,1925,4,2,2008
214000,9135,2002,3,2,2008
181500,9600,1976,3,2,2007
155000,7590,1966,3,2,2006
119900,8425,1971,2,2,2007
91000,1596,1973,2,1,2009
278000,20355,1967,2,2,2006
170000,11069,2007,3,2,2009
284500,9660,1997,3,2,2008
110500,3880,1945,2,0,2007
259500,7259,1945,3,1,2007
100000,8877,1938,2,1,2009
82500,6845,1955,2,0,2008
185101,9073,2006,3,2,2006
99600,9350,1975,2,0,2008
158000,13072,2004,3,2,2006
168165,13204,2006,3,2,2007
127000,7700,1956,3,2,2006
320000,7390,2008,2,2,2009
311872,9416,2007,3,3,2007
125000,7175,1984,2,1,2010
137000,10890,1938,3,1,2006
417500,13693,2007,4,3,2008
159434,4500,1932,3,1,2009
179900,11049,2007,3,2,2008
119750,6305,1938,2,1,2007
105000,7000,1962,3,1,2006
157000,11880,1978,3,2,2009
129000,7200,1950,3,2,2007
268000,15865,1970,4,2,2007
68104,11067,1939,1,1,2007
106000,8100,1898,2,2,2009
340000,11143,2004,4,2,2007
135000,8064,1948,3,2,2009
262000,12461,1994,2,3,2006
102776,8712,1900,2,1,2010
173000,15263,1959,3,1,2010
209700,10984,2005,3,2,2006
134000,9187,1983,3,2,2007
153500,4500,1998,2,2,2006
127000,7180,1972,3,1,2008
167000,9937,1964,3,2,2009
140000,13384,1969,3,1,2006
137000,7155,1918,3,1,2009
129000,8400,1966,3,1,2007
213000,11050,1996,3,3,2008
128500,5830,1950,3,1,2010
200000,3242,2003,2,2,2007
242000,27650,1960,4,2,2008
236000,8795,2000,4,2,2009
177000,7558,1928,3,2,2009
134450,10011,1957,2,1,2006
64000,11792,1948,2,2,2010
173000,10457,1969,4,2,2009
135000,10320,1906,3,1,2008
227000,10000,2006,3,3,2007
381000,14100,1935,4,3,2008
180000,2998,2000,2,2,2009
165000,8139,1995,3,2,2008
139500,12778,1952,2,1,2006
128000,6300,1914,3,0,2008
256900,10400,1967,5,2,2009
150750,7388,1959,3,2,2007
160000,17400,1977,3,2,2006
158500,9600,1961,3,2,2007
113500,9000,1958,2,1,2009
190000,14803,1971,4,2,2006
150500,8800,1977,3,2,2009
386250,13472,2003,3,3,2009
120000,6000,1929,3,1,2008
130000,16300,1977,3,1,2007
134000,2522,2004,3,2,2006
141500,6720,1921,3,1,2007
108000,11040,1920,3,1,2006
275000,6563,1985,2,2,2006
169000,8773,1997,3,2,2007
165000,10184,1963,3,1,2006
130000,12774,1953,2,2,2008
215000,15600,1950,5,2,2010
113000,9000,1969,3,1,2009
167900,9760,1964,4,2,2008
125000,11340,1923,4,1,2006
209500,4590,2006,2,2,2007
193000,9179,1999,3,2,2008
165000,10592,1923,3,1,2007
256300,14230,2007,3,3,2009
152000,7500,2006,3,2,2009
317500,12704,2007,3,3,2008
128000,8012,1980,2,1,2007
235000,25419,1918,4,2,2006
250000,3811,2004,2,2,2008
153000,9600,1955,3,1,2010
181000,9316,2005,3,2,2006
202500,6442,2006,2,2,2007
165000,8850,1920,3,2,2007
99800,10410,1930,2,1,2006
114500,10150,1958,2,1,2007
123000,9825,1966,3,1,2008
141000,8499,1961,3,2,2009
130000,12198,1955,3,1,2007
152000,10793,1969,4,2,2007
157500,11650,1959,2,2,2006
172500,3230,1999,3,2,2009
239500,8013,1995,2,2,2009
362500,13143,1993,4,3,2010
172000,7175,1990,2,2,2006
142500,13072,2005,3,2,2006
305000,4109,1999,2,2,2008
221370,6240,2006,2,2,2007
157500,10440,1904,3,2,2008
78000,8520,1916,2,0,2006
170440,10237,2005,3,2,2006
145000,13015,1996,3,2,2006
235000,13500,1960,1,2,2008
129000,9900,1910,3,0,2009
405000,9233,2000,4,3,2006
168500,8530,1995,3,2,2009
186500,9750,2004,3,2,2008
84500,1936,1970,1,0,2007
146300,4043,1975,2,2,2006
277000,159000,1958,4,2,2007
173000,8366,2004,3,2,2008
280000,14154,2006,3,3,2007
85000,10320,1912,1,2,2008
156000,13568,1995,3,2,2006
239799,8760,2006,3,3,2006
113000,5000,1926,3,1,2008
192140,21930,2005,4,2,2006
184500,5122,2005,1,2,2009
137450,6171,1925,3,1,2009
299800,8963,1976,4,2,2008
112500,6390,1954,2,1,2008
219500,13125,1940,3,1,2007
306000,11478,2007,3,3,2010
130000,9858,1968,3,1,2009
154500,8414,1963,3,1,2006
112000,8780,1985,3,0,2009
260116,16659,2007,3,2,2007
204000,7321,1999,3,2,2007
122900,8064,1949,3,2,2007
290941,12883,2009,3,3,2010
153000,9532,1953,3,1,2007
80400,4800,1900,3,1,2010
130000,10267,1918,2,1,2008
93000,6000,1924,3,1,2009
113000,6120,1939,2,1,2007
107000,9906,1925,3,1,2006
249000,8251,2005,3,2,2007
139000,9600,1958,3,1,2009
155000,10170,1951,2,2,2006
301000,10380,1986,4,2,2007
139500,6000,1915,4,1,2008
145000,10265,1967,3,1,2008
154000,11700,1968,4,2,2009
85000,2592,1976,3,1,2010
126000,6000,1967,3,1,2008
145500,3675,2005,2,2,2009
259000,14572,2004,3,3,2007
63900,9000,1947,2,0,2009
162000,9830,1959,3,2,2010
194000,8556,2006,2,3,2007
294464,3843,2007,2,2,2008
212900,10084,2005,3,3,2006
260400,10593,1996,3,2,2010
187100,16285,2001,3,2,2009
255000,12671,1954,4,2,2007
145000,3675,2005,2,2,2006
85400,1680,1971,2,1,2008
172400,8121,2000,3,2,2006
115000,7150,1955,4,1,2007
105000,1974,1973,2,1,2008
367294,8769,2008,1,3,2008
192000,3182,2004,2,2,2010
200500,8750,1998,3,2,2010
248000,29959,1994,3,2,2009
104000,5520,1912,5,0,2009
164000,11700,1968,3,2,2007
135000,10152,1956,3,1,2007
126500,8892,1960,3,2,2007
144000,9525,1995,3,1,2008
132000,10441,1992,3,0,2006
309000,13418,2004,4,3,2006
144900,9239,1963,3,1,2008
116000,8892,1953,3,2,2008
202665,6792,2005,2,2,2006
244000,13651,1973,3,2,2007
113500,11625,1967,3,1,2009
182000,11679,1962,3,2,2006
175000,12243,1971,3,2,2007
109900,7200,1950,2,2,2006
179000,9024,2004,3,2,2008
160000,10147,1994,3,2,2007
158000,12250,1978,3,2,2008
97000,12702,1956,2,1,2008
165250,6960,1940,2,1,2007
168000,10364,1995,3,2,2007
13100,14584,1952,2,2,2008
133500,8638,1963,2,2,2006
232500,11202,2003,3,2,2008
195000,7915,1999,3,2,2008
139000,11625,1983,2,1,2007
146000,3180,2007,2,2,2008
204000,9839,1980,3,2,2009
107000,8707,1924,4,1,2006
171500,10125,1977,3,2,2008
120500,6960,1970,3,2,2009
162000,12936,1972,3,2,2009
240000,12118,2004,3,2,2009
93000,6000,1953,2,2,2009
451950,13478,2008,3,3,2009
169000,9638,1919,4,1,2010
167500,9300,1960,3,2,2010
